epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1664.02,1.15864,0.97868,1.196,0.7544,0.76307,0.79979,0.52015,1.26312,1.04463,1.28065,0.0090298,0.0090298,0.0090298
100,1682.21,1.15833,0.97701,1.20016,0.85787,0.79919,0.86152,0.56191,1.30162,0.98233,1.28755,0.0090199,0.0090199,0.0090199
101,1698.93,1.14816,0.96508,1.18681,0.78439,0.63299,0.73536,0.45654,1.4682,1.27276,1.42619,0.00901,0.00901,0.00901
102,1716.2,1.14831,0.97316,1.19262,0.85228,0.79125,0.86792,0.57611,1.27595,0.99125,1.2723,0.0090001,0.0090001,0.0090001
103,1734.12,1.13961,0.96382,1.18668,0.86566,0.80599,0.86488,0.56382,1.33685,0.96521,1.32269,0.0089902,0.0089902,0.0089902
104,1751.87,1.14018,0.96451,1.18183,0.82925,0.76148,0.83831,0.54328,1.34997,1.03059,1.34395,0.0089803,0.0089803,0.0089803
105,1769.03,1.14538,0.95716,1.18925,0.76712,0.71217,0.79422,0.52688,1.33004,1.17687,1.35466,0.0089704,0.0089704,0.0089704
106,1785.49,1.1433,0.96129,1.19429,0.89531,0.82493,0.88541,0.60434,1.21882,0.90163,1.25012,0.0089605,0.0089605,0.0089605
107,1802.26,1.13265,0.95373,1.17915,0.85515,0.83603,0.86855,0.57996,1.28418,0.92198,1.27094,0.0089506,0.0089506,0.0089506
108,1820.87,1.12786,0.93956,1.17565,0.86036,0.8636,0.90497,0.61596,1.23288,0.88072,1.24635,0.0089407,0.0089407,0.0089407
109,1838.83,1.14443,0.96245,1.19573,0.90336,0.8429,0.90831,0.6196,1.2264,0.85544,1.23061,0.0089308,0.0089308,0.0089308
110,1855.12,1.14148,0.95669,1.1898,0.85956,0.83396,0.86497,0.58583,1.27806,0.96347,1.28791,0.0089209,0.0089209,0.0089209
111,1873.25,1.14434,0.9436,1.18541,0.83579,0.83386,0.85478,0.58569,1.2821,0.95034,1.27567,0.008911,0.008911,0.008911
112,1889.51,1.14132,0.95231,1.1865,0.87535,0.83706,0.89588,0.60255,1.23962,0.91272,1.23948,0.0089011,0.0089011,0.0089011
113,1905.87,1.11548,0.92435,1.16831,0.82303,0.81211,0.87162,0.58144,1.24366,0.93827,1.25449,0.0088912,0.0088912,0.0088912
114,1923.96,1.12603,0.92287,1.18223,0.74182,0.77829,0.78379,0.50782,1.38785,1.13131,1.34015,0.0088813,0.0088813,0.0088813
115,1939.66,1.12935,0.92323,1.18543,0.76701,0.75079,0.80475,0.50268,1.44195,1.1625,1.38702,0.0088714,0.0088714,0.0088714
116,1959.61,1.10275,0.93122,1.17057,0.87508,0.79315,0.84392,0.5812,1.23812,0.98184,1.24013,0.0088615,0.0088615,0.0088615
117,1978.06,1.10992,0.91724,1.17546,0.83024,0.7174,0.80059,0.53826,1.3191,1.19041,1.31861,0.0088516,0.0088516,0.0088516
118,1996.47,1.11123,0.91702,1.16429,0.86337,0.76925,0.84484,0.56242,1.29604,0.9818,1.29103,0.0088417,0.0088417,0.0088417
119,2015.08,1.13307,0.92881,1.18557,0.82914,0.82776,0.85307,0.57199,1.27131,0.98241,1.29222,0.0088318,0.0088318,0.0088318
120,2032.27,1.11802,0.93247,1.16588,0.62874,0.65507,0.66042,0.41849,1.43373,1.70789,1.44997,0.0088219,0.0088219,0.0088219
121,2050.32,1.10934,0.92764,1.16442,0.86427,0.81988,0.87083,0.59828,1.27362,0.96354,1.28741,0.008812,0.008812,0.008812
122,2067.76,1.11449,0.91434,1.16561,0.81277,0.78413,0.84668,0.56404,1.29035,1.03202,1.2936,0.0088021,0.0088021,0.0088021
123,2085.48,1.11055,0.90567,1.15981,0.8663,0.83565,0.87773,0.58395,1.25019,0.9257,1.27816,0.0087922,0.0087922,0.0087922
124,2101.11,1.10388,0.89422,1.15707,0.90702,0.84385,0.90219,0.61438,1.23492,0.86852,1.25604,0.0087823,0.0087823,0.0087823
125,2117.43,1.09156,0.89384,1.15,0.81396,0.81648,0.84147,0.56338,1.28704,1.02349,1.30136,0.0087724,0.0087724,0.0087724
126,2135.7,1.10081,0.89435,1.16098,0.87005,0.79614,0.86763,0.57901,1.27496,0.94548,1.27895,0.0087625,0.0087625,0.0087625
127,2152.13,1.11223,0.89819,1.16959,0.8438,0.81629,0.86427,0.5843,1.25509,0.95112,1.26279,0.0087526,0.0087526,0.0087526
128,2170.08,1.10369,0.89649,1.15973,0.85926,0.84563,0.89647,0.59647,1.23447,0.90765,1.25767,0.0087427,0.0087427,0.0087427
129,2186.78,1.11016,0.90503,1.16337,0.8719,0.75184,0.85279,0.56447,1.29904,0.99104,1.30768,0.0087328,0.0087328,0.0087328
130,2202.52,1.10569,0.90319,1.15285,0.88271,0.84913,0.89496,0.60692,1.2577,0.88338,1.27368,0.0087229,0.0087229,0.0087229
131,2221.14,1.08468,0.88168,1.14976,0.85667,0.81857,0.86271,0.56902,1.283,0.91397,1.31938,0.008713,0.008713,0.008713
132,2238.25,1.08619,0.89473,1.16099,0.86746,0.83615,0.88933,0.6058,1.2387,0.88141,1.24528,0.0087031,0.0087031,0.0087031
133,2256.01,1.11055,0.88506,1.16104,0.87003,0.82767,0.87785,0.59824,1.26163,0.90575,1.25962,0.0086932,0.0086932,0.0086932
134,2274.19,1.08552,0.89864,1.15895,0.84713,0.79466,0.8438,0.54116,1.36221,1.04088,1.33075,0.0086833,0.0086833,0.0086833
135,2291.36,1.08114,0.86734,1.14431,0.84195,0.82589,0.86673,0.57679,1.3317,1.00241,1.30825,0.0086734,0.0086734,0.0086734
136,2310.71,1.08892,0.88864,1.14742,0.88604,0.82943,0.89222,0.61239,1.28682,0.89174,1.27675,0.0086635,0.0086635,0.0086635
137,2326.59,1.08889,0.88721,1.15014,0.83555,0.83855,0.86521,0.59442,1.27722,0.91448,1.28924,0.0086536,0.0086536,0.0086536
138,2344.89,1.07695,0.87934,1.15222,0.88403,0.83569,0.89636,0.62789,1.19684,0.85023,1.23067,0.0086437,0.0086437,0.0086437
139,2362.86,1.0741,0.88364,1.13954,0.87367,0.83392,0.88383,0.59516,1.25227,0.88259,1.26231,0.0086338,0.0086338,0.0086338
140,2380.72,1.09445,0.89098,1.16315,0.89272,0.83021,0.89074,0.60226,1.22736,0.87964,1.24772,0.0086239,0.0086239,0.0086239
141,2396.41,1.0777,0.86548,1.14193,0.78097,0.78127,0.81881,0.55628,1.29357,1.08859,1.32042,0.008614,0.008614,0.008614
142,2415.24,1.0683,0.88173,1.14513,0.87076,0.82289,0.88201,0.60054,1.25968,0.91135,1.27767,0.0086041,0.0086041,0.0086041
143,2432.48,1.06188,0.86645,1.13867,0.8525,0.83232,0.86598,0.60121,1.22723,0.89371,1.24582,0.0085942,0.0085942,0.0085942
144,2451.16,1.06469,0.87948,1.14214,0.88167,0.83416,0.87845,0.59836,1.24963,0.92111,1.25324,0.0085843,0.0085843,0.0085843
145,2467.73,1.0687,0.86258,1.14061,0.86923,0.88052,0.90153,0.62796,1.1706,0.7989,1.21771,0.0085744,0.0085744,0.0085744
146,2484.11,1.06208,0.85775,1.13849,0.88876,0.84903,0.894,0.62072,1.23545,0.91104,1.25428,0.0085645,0.0085645,0.0085645
147,2502.23,1.08302,0.87862,1.15199,0.83586,0.72626,0.79683,0.51317,1.44679,1.12792,1.38122,0.0085546,0.0085546,0.0085546
148,2520.64,1.0817,0.87697,1.15309,0.86443,0.83971,0.87998,0.59357,1.27829,0.95223,1.29056,0.0085447,0.0085447,0.0085447
149,2537.74,1.0777,0.85251,1.15611,0.85641,0.7519,0.83539,0.53839,1.39631,1.02015,1.37023,0.0085348,0.0085348,0.0085348
150,2555.59,1.06544,0.85449,1.14564,0.87907,0.86403,0.89967,0.62066,1.2152,0.84075,1.25075,0.0085249,0.0085249,0.0085249
151,2572.06,1.06792,0.86132,1.14096,0.89585,0.86281,0.90266,0.63483,1.19036,0.8055,1.21706,0.008515,0.008515,0.008515
152,2588,1.06657,0.8592,1.1412,0.86961,0.82145,0.88727,0.60928,1.22485,0.89736,1.26173,0.0085051,0.0085051,0.0085051
153,2605.61,1.06621,0.85836,1.14499,0.85923,0.82045,0.87194,0.57405,1.33381,0.97776,1.3161,0.0084952,0.0084952,0.0084952
154,2622.99,1.06042,0.83144,1.13634,0.84413,0.84205,0.87851,0.57529,1.30032,0.88893,1.28708,0.0084853,0.0084853,0.0084853
